model,configuration,column,precision,recall,f1,accuracy,TP,FP,FN,TN
flan_default,default,processed_intent,0.9939130434782608,0.9678238780694327,0.9806949806949807,0.9621212121212122,1143,7,38,0
flan_default,default,processed_class,0.3164777680906713,0.8985148514851485,0.4680851063829787,0.3055555555555556,363,784,41,0
flan_default,default,processed_attributes,0.04045643153526971,0.2805755395683453,0.07071622846781506,0.03282828282828283,39,925,100,124
flan_default,default,processed_filter_attributes,0.0,0.0,0.0,0.0,0,132,436,620
flan_treatment_mode,treatment_mode,processed_intent,0.9939130434782608,0.9678238780694327,0.9806949806949807,0.9621212121212122,1143,7,38,0
flan_treatment_mode,treatment_mode,processed_class,0.7290379523389232,0.9375709421112373,0.82025819265144,0.6952861952861953,826,307,55,0
flan_treatment_mode,treatment_mode,processed_attributes,0.49311926605504586,0.7263513513513513,0.587431693989071,0.36195286195286197,430,442,162,154
flan_treatment_mode,treatment_mode,processed_filter_attributes,0.5697674418604651,0.09245283018867924,0.1590909090909091,0.041245791245791245,49,37,481,621
gemma3_default,default,processed_intent,1.0,0.98989898989899,0.9949238578680203,0.98989898989899,1176,0,12,0
gemma3_default,default,processed_class,0.9328231292517006,0.9891794409377818,0.9601750547045952,0.9234006734006734,1097,79,12,0
gemma3_default,default,processed_attributes,0.4022038567493113,0.5309090909090909,0.45768025078369906,0.24579124579124578,292,434,258,204
gemma3_default,default,processed_filter_attributes,0.42857142857142855,0.05084745762711865,0.09090909090909091,0.022727272727272728,27,36,504,621
gemma3_treatment_mode,treatment_mode,processed_intent,0.9991582491582491,1.0,0.999578947368421,0.9991582491582491,1187,1,0,0
gemma3_treatment_mode,treatment_mode,processed_class,0.837696335078534,0.9580838323353293,0.893854748603352,0.8080808080808081,960,186,42,0
gemma3_treatment_mode,treatment_mode,processed_attributes,0.46467065868263474,0.6666666666666666,0.547635850388144,0.3265993265993266,388,447,194,159
gemma3_treatment_mode,treatment_mode,processed_filter_attributes,0.25,0.022598870056497175,0.04145077720207253,0.010101010101010102,12,36,519,621
llama3_default,default,processed_intent,1.0,0.9537037037037037,0.976303317535545,0.9537037037037037,1133,0,55,0
llama3_default,default,processed_class,0.7950310559006211,0.9362591431556949,0.8598848368522074,0.7542087542087542,896,231,61,0
llama3_default,default,processed_attributes,0.0,0.0,0.0,0.0,0,165,591,432
llama3_default,default,processed_filter_attributes,0.0,0.0,0.0,0.0,0,0,567,621
llama3_treatment_mode,treatment_mode,processed_intent,0.9974683544303797,0.9974683544303797,0.9974683544303797,0.9949494949494949,1182,3,3,0
llama3_treatment_mode,treatment_mode,processed_class,0.8565179352580927,0.9560546875,0.9035532994923858,0.8240740740740741,979,164,45,0
llama3_treatment_mode,treatment_mode,processed_attributes,0.4408866995073892,0.6313932980599647,0.5192168237853517,0.30134680134680136,358,454,209,167
llama3_treatment_mode,treatment_mode,processed_filter_attributes,0.1935483870967742,0.01107011070110701,0.020942408376963352,0.005050505050505051,6,25,536,621
mistral_default,default,processed_intent,1.0,0.9537037037037037,0.976303317535545,0.9537037037037037,1133,0,55,0
mistral_default,default,processed_class,0.2992056487202118,0.8604060913705583,0.4440078585461689,0.28535353535353536,339,794,55,0
mistral_default,default,processed_attributes,0.0,0.0,0.0,0.0,0,171,585,432
mistral_default,default,processed_filter_attributes,0.0,0.0,0.0,0.0,0,0,567,621
mistral_treatment_mode,treatment_mode,processed_intent,0.9983164983164983,1.0,0.9991575400168492,0.9983164983164983,1186,2,0,0
mistral_treatment_mode,treatment_mode,processed_class,0.8012259194395797,0.9521331945889698,0.87018544935806,0.7702020202020202,915,227,46,0
mistral_treatment_mode,treatment_mode,processed_attributes,0.4566831683168317,0.6462346760070052,0.5351704133430022,0.3106060606060606,369,439,202,178
mistral_treatment_mode,treatment_mode,processed_filter_attributes,0.2222222222222222,0.014842300556586271,0.027826086956521737,0.006734006734006734,8,28,531,621
qwen3_default,default,processed_intent,1.0,0.9537037037037037,0.976303317535545,0.9537037037037037,1133,0,55,0
qwen3_default,default,processed_class,0.0,0.0,0.0,0.0,0,1133,55,0
qwen3_default,default,processed_attributes,0.0,0.0,0.0,0.0,0,166,591,431
qwen3_default,default,processed_filter_attributes,0.0,0.0,0.0,0.0,0,0,567,621
qwen3_treatment_mode,treatment_mode,processed_intent,0.976962457337884,0.9862187769164513,0.9815687955422204,0.9638047138047138,1145,27,16,0
qwen3_treatment_mode,treatment_mode,processed_class,0.7454228421970357,0.9542410714285714,0.8370044052863436,0.7196969696969697,855,292,41,0
qwen3_treatment_mode,treatment_mode,processed_attributes,0.3904881101376721,0.6,0.4730856709628506,0.26262626262626265,312,487,208,181
qwen3_treatment_mode,treatment_mode,processed_filter_attributes,0.13793103448275862,0.007380073800738007,0.014010507880910681,0.003367003367003367,4,25,538,621
phi3_default,default,processed_intent,1.0,0.9537037037037037,0.976303317535545,0.9537037037037037,1133,0,55,0
phi3_default,default,processed_class,0.08055555555555556,0.4461538461538462,0.13647058823529412,0.07323232323232323,87,993,108,0
phi3_default,default,processed_attributes,0.07228915662650602,0.04554079696394687,0.055878928987194404,0.020202020202020204,24,308,503,353
phi3_default,default,processed_filter_attributes,0.0,0.0,0.0,0.0,0,0,567,621
phi3_treatment_mode,treatment_mode,processed_intent,0.9982409850483729,0.9569983136593592,0.977184674989238,0.9553872053872053,1135,2,51,0
phi3_treatment_mode,treatment_mode,processed_class,0.6613333333333333,0.9219330855018587,0.7701863354037267,0.6262626262626263,744,381,63,0
phi3_treatment_mode,treatment_mode,processed_attributes,0.46782178217821785,0.6406779661016949,0.5407725321888411,0.3181818181818182,378,430,212,168
phi3_treatment_mode,treatment_mode,processed_filter_attributes,0.17647058823529413,0.011131725417439703,0.02094240837696335,0.005050505050505051,6,28,533,621
